Nombre;Estrellas;Web;Distancia_m;Distancia_t;Codigo descuento;Descuento;Condiciones;Anotaciones;Imagen
Eurostars Gran Hotel Santiago;4;https://www.eurostarshotels.com/eurostars-gran-hotel-santiago/disponibilidad.html?utm_campaign=googlehpa_es&id_hotel=H233&start=2025-09-12&utm_medium=cpc&promotion_code=BODABYP&guests[0][adults]=2&id_referer=GOOGLEHPA_ES&utm_source=googlehpa&city_id=100159&td=m00ga01&end=2025-09-14&avail_code=GOOGLEHPA_ES&referer_code=GOOGLEHPA_ES#monoHotelAvail/EUR;750;11;BODABYP;XX% de descuento con el código BODABYP;;;/galeria/hoteles/3.jpg
Hotel Exe Peregrino;4;https://www.eurostarshotels.com/exe-peregrino/disponibilidad.html?utm_campaign=googlehpa_es&id_hotel=SYN2183&start=2025-09-12&utm_medium=cpc&promotion_code=BODABYP&guests[0][adults]=2&id_referer=GOOGLEHPA_ES&utm_source=googlehpa&city_id=100159&td=m00ga01&end=2025-09-14&avail_code=GOOGLEHPA_ES&referer_code=GOOGLEHPA_ES#monoHotelAvail/EUR;1.100;16;BODABYP;15% de descuento con el código BODABYP;Aplicable hasta el 13 de agosto;para las fechas 12 y 13 de septiembre;/galeria/hoteles/2.jpg
Hotel Herradura;3;https://www.hotelherradura.es/#;900;14;Dar como referencia nuestros nombres “Boda Bea y Pablo - 13 septiembre 2025”;Dar como referencia nuestros nombres “Boda Bea y Pablo - 13 septiembre 2025”;;Las tarifas que se aplican son las siguientes: Habitación doble: 120€ Habitación individual: 89€ Cama supletoria 33€ Con desayuno e IVA incluido;/galeria/hoteles/6.jpg
Hotel San Lorenzo;3;https://www.hsanlorenzo.com/es/;500;7;;;;Sin disponibilidad;/galeria/hoteles/5.jpg
Hotel Palacio del Carmen;5;https://www.marriott.com/es/hotels/scqak-hotel-palacio-del-carmen-autograph-collection/overview/;700;9;;;;;/galeria/hoteles/1.jpg
Pombal Rooms Santiago;2;https://www.gescahoteles.com/pombal-rooms/;750;11;;;;;/galeria/hoteles/8.jpg
Hotel Pazos Alba;2;https://hotelpazosalba.com;850m;12;;;;;/galeria/hoteles/9.jpg
Lux Apartamentos Santiago;3;https://www.gescahoteles.com/lux-apartamentos-santiago/;900;13;;;;;/galeria/hoteles/4.jpg
Lux Apartamentos Rosalía;Apartamentos;https://www.gescahoteles.com/lux-apartamentos-rosalia/;900;13;;;;Apartamentos de 2 habitaciones y sofá cama.;/galeria/hoteles/10.jpg
Alameda Rooms;2;https://www.gescahoteles.com/alameda-rooms-santiago/;1.100;16;;;;;/galeria/hoteles/7.jpg
